gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
gsox-1/F33H1.4	WBGene00009365	1	eGFP	FLAG;TY1	RW12303
gsp-1	WBGene00001747	2		AID;degron	
gsp-2	WBGene00001748	6	GFP	AID;FLAG;HRV;Halotag;degron	
gst-31	WBGene00001779	1	GFPNovo2	AID;FLAG;TEV	
gst-7	WBGene00001755	1	GFP	AID;FLAG	
gtbp-1/K08F4.2	WBGene00010677	17	GFP;TagRFP;eGFP;mCherry;mNG;mTagGFP;meGFP	FLAG;Myc;OLLAS;TetraCys;ZF	JH3182;JH3184;JH3186;JH3197;JH3199
gtf-2H1	WBGene00019821	2	GFP	AID	HAL504
gtf-2H2C	WBGene00011814	1	GFP	FLAG	
gtf-2H5	WBGene00021904	2	GFP	AID	HAL240
gur-3	WBGene00001804	2	GFP		SXB63
gyf-1	WBGene00016002	2	mNG	FLAG	GLW4
hach-1	WBGene00017301	1	mCherry		
hasp-1	WBGene00007258	1		degron	
hbl-1	WBGene00001824	7	mNG;mScarlet-I	AID	SYS641;VT3751;VT3869;VT3922
hcf-1	WBGene00001827	1	GFP	FLAG	
hcp-1	WBGene00001829	1	GFP		
hcp-2	WBGene00001830	2	GFP;GFPNovo2	AID;FLAG;TEV	
hcp-3	WBGene00001831	3	GFP	HA	
hcp-4	WBGene00001832	2	GFP;mCherry	FLAG	
hda-1	WBGene00001834	5	GFP	FLAG;HA;TEV;degron	
hdl-1	WBGene00001839	1	GFP		PHX1048
hecd-1	WBGene00016405	2	GFP	FLAG	
henn-1	WBGene00015349	1	GFP	FLAG	SHG2244
herd-1/Y111B2A.3	WBGene00013729	1	GFP	FLAG	
heri-1	WBGene00016236	2	GFP	FLAG	
hgo-1	WBGene00001843	1	mCherry	HA	
him-10	WBGene00001869	2	GFP;mScarlet		
him-18	WBGene00011415	1		HA	
him-19	WBGene00022390	1		FLAG	
him-3	WBGene00001862	3	GFPNovo2;mEos2;mMaple3	AID;FLAG;TEV	
him-4	WBGene00001863	5	mCherry;mEOS2;mNG		NK2422;NK2645
him-5	WBGene00001864	1	GFPNovo2	AID;FLAG;TEV	
him-6	WBGene00001865	1		HA	
him-8	WBGene00001867	1		AID;V5	
hinf-1/F39B2.1	WBGene00009553	1	eGFP	FLAG;TY1	RW12232
his-11	WBGene00001885	1	GFP		
his-13	WBGene00001887	1	Dendra2		
his-15	WBGene00001889	1	GFP		
his-2	WBGene00001876	1	Dendra2		
his-20	WBGene00001894	1	GFP		
his-22	WBGene00001896	1	GFP		
his-25	WBGene00001899	1	Dendra2		
his-29	WBGene00001903	1	GFP		
his-3	WBGene00001877	6	sGFP(11);smScarlet(11)		CF4592;CF4594;CF4608
his-32	WBGene00001906	1	Dendra2		
his-34	WBGene00001908	1	GFP		
his-39	WBGene00001913	1	GFP		
his-4	WBGene00001878	1	GFP		
his-40	WBGene00001914	1	Dendra2		
his-41	WBGene00001915	1	GFP		
his-44	WBGene00001918	1	GFP		
