gene	go_term	go_slim_term	cellular_component
sulp-8	GO:0005886;GO:0016020;GO:0016323	GO:0005886;GO:0016020	membrane;plasma membrane
sun-1	GO:0005634;GO:0005635;GO:0016020;GO:0031965;GO:0034993	GO:0005634;GO:0005635;GO:0016020;GO:0032991	membrane;nuclear envelope;nucleus;protein-containing complex
suox-1	GO:0005739;GO:0005758	GO:0005739	mitochondrion
sup-12	GO:0005634;GO:0005737;GO:0016607;GO:1990904	GO:0005634;GO:0005737;GO:0032991;GO:0043226	cytoplasm;nucleus;organelle;protein-containing complex
sup-17	GO:0005886;GO:0016020;GO:0016323;GO:0030659;GO:0031410	GO:0005886;GO:0016020;GO:0031410	cytoplasmic vesicle;membrane;plasma membrane
sup-18	GO:0005886;GO:0016020	GO:0005886;GO:0016020	membrane;plasma membrane
sup-46	GO:0005634;GO:0005737;GO:1990904	GO:0005634;GO:0005737;GO:0032991	cytoplasm;nucleus;protein-containing complex
sup-9	GO:0005886;GO:0016020;GO:0036195;GO:0055120	GO:0005886;GO:0016020	membrane;plasma membrane
sur-2	GO:0005634;GO:0005667;GO:0016592	GO:0005634;GO:0032991	nucleus;protein-containing complex
sur-5	GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
sur-6	GO:0000159;GO:0005737;GO:0005829	GO:0005737;GO:0005829;GO:0032991	cytoplasm;cytosol;protein-containing complex
suro-1	GO:0005576;GO:0005615;GO:0005737;GO:0031410;GO:0060102	GO:0005576;GO:0005737;GO:0031012;GO:0031410	cytoplasm;cytoplasmic vesicle;extracellular matrix;extracellular region
sut-1	GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
sut-2	GO:0005634;GO:0005737;GO:0016607;GO:0048471	GO:0005634;GO:0005737;GO:0043226	cytoplasm;nucleus;organelle
svh-1	GO:0005576;GO:0005615;GO:0016020	GO:0005576;GO:0016020	extracellular region;membrane
svh-5	GO:0005634	GO:0005634	nucleus
swd-2.2	GO:0005634;GO:0048188	GO:0005634;GO:0032991	nucleus;protein-containing complex
sws-1	GO:0097196	GO:0032991	protein-containing complex
swsn-1	GO:0005634;GO:0016514	GO:0005634;GO:0032991	nucleus;protein-containing complex
swsn-2.2	GO:0000793;GO:0005694;GO:0005634;GO:0005635;GO:0005654;GO:0016514	GO:0005634;GO:0005635;GO:0005654;GO:0005694;GO:0032991	chromosome;nuclear envelope;nucleoplasm;nucleus;protein-containing complex
swsn-3	GO:0005634;GO:0016514	GO:0005634;GO:0032991	nucleus;protein-containing complex
swsn-4	GO:0000785;GO:0005634;GO:0016514	GO:0005634;GO:0032991	nucleus;protein-containing complex
